n,accuracy,time
1,0.8916,2.125925302505493
4,0.9016,2.8160712718963623
7,0.9004,2.929260730743408
10,0.8812,2.6346213817596436
13,0.8584,2.599295139312744
16,0.8276,2.6159801483154297
19,0.8032,2.6209375858306885
22,0.7792,2.9962236881256104
25,0.7616,2.793778896331787
28,0.7512,3.34218430519104
31,0.7252,3.091109037399292
34,0.7188,2.1664323806762695
37,0.702,2.4590229988098145
40,0.6952,2.52115797996521
43,0.6916,2.4786250591278076
46,0.678,2.4888978004455566
49,0.67,2.3469927310943604
52,0.6624,2.36446475982666
55,0.654,2.4547231197357178
58,0.6468,2.3613877296447754
61,0.646,2.336822748184204
64,0.6396,2.313237428665161
67,0.6324,2.2883143424987793
70,0.6304,2.3055479526519775
73,0.6308,2.2264389991760254
